"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
22.11.23;11:17:53;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.23;11:21:21;P700-Cal.;SK;S_231122_112121; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.23;11:21:34;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.23;11:21:34;Manual;SK;S_231122_112134; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.23;11:21:35;Fo-Det.;Fo;; 0.0;0;;0.0000;0.2297;;;;;;;;;;;;;;;;;;;;;;
22.11.23;11:21:35;Fm-Det.;SP;F_231122_112135_0; 0.0;0;;0.0000;0.2297;0.3722;;0.2312;0.383;;;0.000;0.621;0.000;0.000;0.000;0.989;0.983;0.621;1.000;0.003;0.033;;;;;
22.11.23;11:21:45;Pm.-Det.;SP;F_231122_112145_0; 0.0;0;;0.0000;0.2173;0.3408;;0.2241;0.342;;;0.000;0.602;0.055;0.092;0.133;0.945;0.917;0.602;0.916;0.048;0.071;0.326;0.674;0.000;0.000;
22.11.23;11:22:19;P.+F. SP;SP;F_231122_112219_0; 0.0;40;;0.0000;0.1650;0.2277;;0.1765;0.225;;;3.775;0.474;0.301;0.635;0.560;0.817;0.764;0.474;0.612;0.016;0.054;0.536;0.224;0.240;9.001;
22.11.23;11:22:49;P.+F. SP;SP;F_231122_112249_0; 0.0;49;;0.0000;0.1623;0.2225;;0.1729;0.223;;;4.587;0.465;0.313;0.673;0.578;0.824;0.773;0.465;0.598;-0.004;0.040;0.611;0.000;0.389;12.578;
22.11.23;11:23:19;P.+F. SP;SP;F_231122_112319_0; 0.0;62;;0.0000;0.1644;0.2266;;0.1758;0.224;;;5.838;0.472;0.304;0.643;0.564;0.818;0.765;0.472;0.609;-0.005;0.032;0.522;0.000;0.478;13.606;
22.11.23;11:23:49;P.+F. SP;SP;F_231122_112349_0; 0.0;86;;0.0000;0.1659;0.2294;;0.1787;0.221;;;7.993;0.480;0.299;0.622;0.555;0.800;0.743;0.480;0.616;0.002;0.038;0.514;0.026;0.461;18.555;
22.11.23;11:24:19;P.+F. SP;SP;F_231122_112419_0; 0.0;112;;0.0000;0.1663;0.2300;;0.1796;0.219;;;10.324;0.482;0.298;0.618;0.552;0.792;0.733;0.482;0.618;0.012;0.048;0.503;0.171;0.326;23.668;
22.11.23;11:24:49;P.+F. SP;SP;F_231122_112449_0; 0.0;141;;0.0000;0.1665;0.2304;;0.1814;0.213;;;12.609;0.487;0.300;0.615;0.551;0.767;0.704;0.487;0.619;0.014;0.057;0.597;0.199;0.204;35.335;
22.11.23;11:25:39;P.+F. SP;SP;F_231122_112539_0; 0.0;183;;0.0000;0.1678;0.2330;;0.1848;0.207;;;15.895;0.497;0.297;0.597;0.542;0.739;0.671;0.497;0.626;0.023;0.065;0.587;0.322;0.092;45.099;
22.11.23;11:26:29;P.+F. SP;SP;F_231122_112629_0; 0.0;237;;0.0000;0.1662;0.2300;;0.1853;0.194;;;19.327;0.498;0.308;0.618;0.553;0.701;0.628;0.498;0.618;0.016;0.049;0.471;0.224;0.305;46.883;
22.11.23;11:27:19;P.+F. SP;SP;F_231122_112719_0; 0.0;306;;0.0000;0.1626;0.2230;;0.1835;0.177;;;22.792;0.493;0.330;0.668;0.576;0.654;0.580;0.493;0.599;0.027;0.066;0.544;0.380;0.076;69.885;
22.11.23;11:28:09;P.+F. SP;SP;F_231122_112809_0; 0.0;391;;0.0000;0.1566;0.2119;;0.1770;0.165;;;27.057;0.475;0.360;0.757;0.612;0.631;0.558;0.475;0.569;0.051;0.077;0.367;0.712;-0.079;60.211;
22.11.23;11:28:59;P.+F. SP;SP;F_231122_112859_0; 0.0;603;;0.0000;0.1436;0.1888;;0.1675;0.113;;;28.601;0.450;0.437;0.971;0.683;0.472;0.404;0.450;0.507;0.030;0.056;0.364;0.428;0.209;92.075;
22.11.23;11:29:49;P.+F. SP;SP;F_231122_112949_0; 0.0;756;;0.0000;0.1383;0.1797;;0.1628;0.094;;;29.836;0.438;0.469;1.071;0.709;0.408;0.346;0.438;0.483;0.007;0.037;0.420;0.103;0.477;133.302;
