"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
22.11.23;12:21:27;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.23;12:58:32;P700-Cal.;SK;S_231122_125832; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.23;12:58:46;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.23;12:58:46;Manual;SK;S_231122_125846; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.23;12:58:47;Fo-Det.;Fo;; 0.0;0;;0.0000;0.1588;;;;;;;;;;;;;;;;;;;;;;
22.11.23;12:58:49;Fm-Det.;SP;F_231122_125849_0; 0.0;0;;0.0000;0.1588;0.3566;;0.1654;0.555;;;0.000;0.464;0.000;0.000;0.000;0.966;0.927;0.464;1.000;0.045;0.077;;;;;
22.11.23;12:58:56;Pm.-Det.;SP;F_231122_125856_0; 0.0;0;;0.0000;0.1551;0.3387;;0.1618;0.522;;;0.000;0.454;0.024;0.053;0.072;0.964;0.924;0.454;0.950;0.066;0.091;0.269;0.731;0.000;0.000;
22.11.23;12:59:30;P.+F. SP;SP;F_231122_125930_0; 0.0;40;;0.0000;0.1345;0.2537;;0.1491;0.412;;;6.927;0.418;0.170;0.406;0.398;0.877;0.791;0.418;0.711;0.008;0.076;0.757;0.085;0.158;12.724;
22.11.23;13:00:00;P.+F. SP;SP;F_231122_130000_0; 0.0;49;;0.0000;0.1336;0.2505;;0.1474;0.412;;;8.472;0.413;0.175;0.423;0.409;0.882;0.799;0.413;0.703;0.009;0.077;0.750;0.096;0.155;15.426;
22.11.23;13:00:30;P.+F. SP;SP;F_231122_130030_0; 0.0;62;;0.0000;0.1356;0.2576;;0.1512;0.413;;;10.758;0.424;0.163;0.384;0.383;0.872;0.782;0.424;0.722;0.008;0.076;0.753;0.083;0.163;19.613;
22.11.23;13:01:00;P.+F. SP;SP;F_231122_130100_0; 0.0;86;;0.0000;0.1365;0.2609;;0.1537;0.411;;;14.839;0.431;0.158;0.367;0.371;0.861;0.765;0.431;0.732;0.005;0.069;0.705;0.060;0.235;25.449;
22.11.23;13:01:30;P.+F. SP;SP;F_231122_130130_0; 0.0;112;;0.0000;0.1369;0.2627;;0.1563;0.405;;;19.057;0.438;0.157;0.358;0.365;0.846;0.742;0.438;0.737;0.008;0.073;0.716;0.091;0.192;33.690;
22.11.23;13:02:00;P.+F. SP;SP;F_231122_130200_0; 0.0;141;;0.0000;0.1364;0.2607;;0.1579;0.395;;;23.364;0.443;0.163;0.368;0.372;0.827;0.715;0.443;0.731;0.011;0.074;0.686;0.126;0.188;40.609;
22.11.23;13:02:50;P.+F. SP;SP;F_231122_130250_0; 0.0;183;;0.0000;0.1369;0.2625;;0.1614;0.385;;;29.603;0.452;0.162;0.359;0.365;0.805;0.683;0.452;0.736;0.015;0.074;0.656;0.164;0.180;50.456;
