26-07-06;17:57:02.000;WinControl (rev1255) report file
Time (rel/ms);Type;No.;1:F;1:Fm';1:PAR;1:Y (II);1:ETR
0;D;;Device Nr: #1, DIVING-PAM-II (UWFC0161A);
0;SLCS;;Light Curve start;
0;REG1;;#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 31.926 )   (Platt et al. 1980);
0;REG2;;#1: alpha: 0.139, ETRm: 34.237, Ik: 245.816   (Jassby and Platt 1976);
1397;FO;14;396;1416;0;0.72;0
31387;F;15;469;780;34;0.399;5.7
61375;F;16;379;593;63;0.361;9.6
91357;F;17;366;564;91;0.351;13.4
121349;F;18;367;549;126;0.332;17.6
151339;F;19;360;513;176;0.298;22
181332;F;20;350;454;269;0.229;25.9
211319;F;21;346;413;403;0.162;27.4
241313;F;22;329;376;592;0.125;31.1
271295;F;23;290;317;878;0.085;31.3
301286;F;24;252;274;1152;0.08;38.7
331272;F;25;232;246;1620;0.057;38.8
361269;F;26;231;240;2111;0.038;33.7
364448;SLCE;;Light Curve end;
