
"t";"Date";"Time";"No.";"ML";"Temp.";"PAR";"F";"Fo'";"Fm'";"~Fo'";"Y(II)";"Y(NPQ)";"Y(NO)";"NPQ";"qN";"qP";"qL";"ETR";"Y4S";"";
       2;11.03.26;14:16:47;Type: LC 
       4;11.03.26;14:16:48;default_60.par
       2;11.03.26;14:16:47;;1; 0.0;0;0.166;Fo: 0.166;Fm: 0.744
       2;11.03.26;14:16:47;1;1;  0.0;0; 0.166; 0.000; 0.744; 0.166;0.777;0.000;0.223;0.000;0.000;1.000;1.000;   0.0;0.777
      12;11.03.26;14:16:57;2;1;  0.0;5; 0.208; 0.194; 0.708; 0.164;0.706;0.014;0.280;0.051;0.111;0.973;0.907;   1.5;0.706
      42;11.03.26;14:17:27;3;1;  0.0;9; 0.238; 0.184; 0.474; 0.147;0.498;0.182;0.320;0.570;0.498;0.814;0.629;   1.9;0.498
      72;11.03.26;14:17:57;4;1;  0.0;34; 0.246; 0.180; 0.423; 0.142;0.418;0.251;0.331;0.759;0.580;0.728;0.533;   6.0;0.418
     102;11.03.26;14:18:27;5;1;  0.0;67; 0.259; 0.174; 0.412; 0.141;0.371;0.281;0.348;0.806;0.588;0.643;0.432;  10.5;0.371
     132;11.03.26;14:18:57;6;1;  0.0;104; 0.270; 0.168; 0.397; 0.139;0.320;0.317;0.363;0.874;0.604;0.555;0.345;  14.0;0.320
     162;11.03.26;14:19:27;7;1;  0.0;144; 0.277; 0.177; 0.383; 0.137;0.277;0.351;0.372;0.943;0.644;0.515;0.329;  16.7;0.277
     192;11.03.26;14:19:57;8;1;  0.0;201; 0.285; 0.172; 0.371; 0.136;0.232;0.385;0.383;1.005;0.656;0.432;0.261;  19.6;0.232
     222;11.03.26;14:20:27;9;1;  0.0;274; 0.294; 0.169; 0.361; 0.134;0.186;0.419;0.395;1.061;0.668;0.349;0.201;  21.4;0.186
     252;11.03.26;14:20:57;10;1;  0.0;366; 0.299; 0.171; 0.351; 0.133;0.148;0.450;0.402;1.120;0.689;0.289;0.165;  22.8;0.148
     282;11.03.26;14:21:27;11;1;  0.0;477; 0.303; 0.170; 0.344; 0.132;0.119;0.474;0.407;1.163;0.699;0.236;0.132;  23.9;0.119
     312;11.03.26;14:21:57;12;1;  0.0;622; 0.304; 0.169; 0.337; 0.131;0.098;0.493;0.409;1.208;0.709;0.196;0.109;  25.6;0.098
     329;11.03.26;14:22:14;File: L_260311_141645.PWS
