
"t";"Date";"Time";"No.";"ML";"Temp.";"PAR";"F";"Fo'";"Fm'";"~Fo'";"Y(II)";"Y(NPQ)";"Y(NO)";"NPQ";"qN";"qP";"qL";"ETR";"";
      12;22.04.26;11:20:13;Type: LC 
      14;22.04.26;11:20:14;default_60.par
      12;22.04.26;11:20:13;;2; 0.0;0;0.389;Fo: 0.389;Fm: 1.960
      12;22.04.26;11:20:13;1;2;  0.0;0; 0.389; 0.000; 1.960; 0.389;0.802;0.000;0.198;0.000;0.000;1.000;1.000;   0.0
      42;22.04.26;11:20:43;2;2;  0.0;7; 0.921; 0.000; 1.726; 0.379;0.466;0.064;0.470;0.136;0.142;0.598;0.246;   1.4
      72;22.04.26;11:21:13;3;2;  0.0;36; 0.783; 0.000; 1.379; 0.359;0.432;0.168;0.399;0.421;0.351;0.584;0.268;   6.5
     102;22.04.26;11:21:43;4;2;  0.0;106; 0.644; 0.000; 1.082; 0.335;0.405;0.267;0.329;0.811;0.525;0.586;0.305;  18.0
     132;22.04.26;11:22:13;5;2;  0.0;203; 0.595; 0.000; 0.899; 0.315;0.338;0.358;0.304;1.180;0.628;0.521;0.276;  28.8
     162;22.04.26;11:22:43;6;2;  0.0;368; 0.584; 0.000; 0.780; 0.299;0.251;0.451;0.298;1.513;0.694;0.408;0.209;  38.8
     192;22.04.26;11:23:13;7;2;  0.0;624; 0.585; 0.000; 0.712; 0.289;0.178;0.523;0.298;1.753;0.730;0.300;0.148;  46.7
     222;22.04.26;11:23:43;8;2;  0.0;986; 0.588; 0.000; 0.673; 0.282;0.126;0.574;0.300;1.912;0.751;0.217;0.104;  52.3
     252;22.04.26;11:24:13;9;2;  0.0;1391; 0.588; 0.000; 0.651; 0.278;0.097;0.603;0.300;2.011;0.763;0.169;0.080;  56.5
     282;22.04.26;11:24:43;10;2;  0.0;2020; 0.592; 0.000; 0.636; 0.275;0.069;0.629;0.302;2.082;0.770;0.122;0.057;  58.7
     312;22.04.26;11:25:13;11;2;  0.0;7; 0.449; 0.000; 1.011; 0.328;0.556;0.215;0.229;0.939;0.565;0.823;0.601;   1.6
     342;22.04.26;11:25:43;12;2;  0.0;69; 0.507; 0.000; 1.065; 0.333;0.524;0.217;0.259;0.840;0.534;0.763;0.502;  15.2
     355;22.04.26;11:25:55;File: L_260422_112001.PWS
